C0000039	1,2-dipalmitoylphosphatidylcholine
C0573492	Accidental sodium fusidate overdose
C0573493	Intentional sodium fusidate overdose
C0573494	Sodium fusidate overdose of undetermined intent
C0573495	Spectinomycin overdose
C0573496	Accidental spectinomycin overdose
C0573497	Intentional spectinomycin overdose
C0573498	Spectinomycin overdose of undetermined intent
C0573499	Vancomycin overdose
C0573500	Accidental vancomycin overdose
C0573501	Intentional vancomycin overdose
C0573502	Vancomycin overdose of undetermined intent
C0573503	Trimethoprim overdose
C0573504	Accidental trimethoprim overdose
C0573505	Intentional trimethoprim overdose
C0573506	Trimethoprim overdose of undetermined intent
C0573507	Nitrofuran derivative overdose
C0573508	Accidental nitrofuran derivative overdose
C0573509	Intentional nitrofuran derivative overdose
C0573510	Nitrofuran derivative overdose of undetermined intent
C0573511	Fusidic acid overdose
C0573512	Accidental fusidic acid overdose
C0573513	Intentional fusidic acid overdose
C0573514	Fusidic acid overdose of undetermined intent
C0573515	4-quinolones overdose
C0573516	Accidental 4-quinolones overdose
C0573517	Intentional 4-quinolones overdose
C0573518	4-quinolones overdose of undetermined intent
C0573519	Penicillin overdose
C0573520	Ampicillin overdose
C0573521	Accidental ampicillin overdose
C0573522	Intentional ampicillin overdose
C0573523	Ampicillin overdose of undetermined intent
C0573524	Amoxycillin overdose
C0573525	Cloxacillin overdose
C0573526	Accidental cloxacillin overdose
C0573527	Intentional cloxacillin overdose
C0573528	Cloxacillin overdose of undetermined intent
C0573529	Carbenicillin overdose
C0573530	Accidental carbenicillin overdose
C0573531	Intentional carbenicillin overdose
C0573532	Carbenicillin overdose of undetermined intent
C0573533	Flucloxacillin overdose
C0573534	Accidental flucloxacillin overdose
C0573535	Intentional flucloxacillin overdose
C0573536	Flucloxacillin overdose of undetermined intent
C0573537	Cephalosporin group overdose
C0573538	First generation cephalosporin overdose
C0573539	Cefadroxil overdose
C0573540	Accidental cefadroxil overdose
C0573541	Intentional cefadroxil overdose
C0573542	Cefadroxil overdose of undetermined intent
C0573543	Cephalexin overdose
C0573544	Accidental cephalexin overdose
C0573545	Intentional cephalexin overdose
C0573546	Cephalexin overdose of undetermined intent
C0573547	Cephalothin overdose
C0573548	Accidental cephalothin overdose
C0573549	Intentional cephalothin overdose
C0573550	Cephalothin overdose of undetermined intent
C0573551	Cephazolin overdose
C0573552	Accidental cephazolin overdose
C0573553	Intentional cephazolin overdose
C0573554	Cephazolin overdose of undetermined intent
C0573555	Cephradine overdose
C0573556	Accidental cephradine overdose
C0573557	Intentional cephradine overdose
C0573558	Cephradine overdose of undetermined intent
C0573559	Latamoxef overdose
C0573560	Accidental latamoxef overdose
C0573561	Intentional latamoxef overdose
C0573562	Latamoxef overdose of undetermined intent
C0573563	Second generation cephalosporin overdose
C0573564	Cefaclor overdose
C0573565	Accidental cefaclor overdose
C0573566	Intentional cefaclor overdose
C0573567	Cefaclor overdose of undetermined intent
C0573568	Cefuroxime overdose
C0573569	Accidental cefuroxime overdose
C0573570	Intentional cefuroxime overdose
C0573571	Cefuroxime overdose of undetermined intent
C0573572	Cephamandole overdose
C0573573	Accidental cephamandole overdose
C0573574	Intentional cephamandole overdose
C0573575	Cephamandole overdose of undetermined intent
C0573576	Third generation cephalosporin overdose
C0573577	Cefotaxime overdose
C0573578	Accidental cefotaxime overdose
C0573579	Intentional cefotaxime overdose
C0573580	Cefotaxime overdose of undetermined intent
C0573581	Ceftazidime overdose
C0573582	Accidental ceftazidime overdose
C0573583	Intentional ceftazidime overdose
C0573584	Ceftazidime overdose of undetermined intent
C0573585	Ceftizoxime overdose
C0573586	Accidental ceftizoxime overdose
C0573587	Intentional ceftizoxime overdose
C0573588	Ceftizoxime overdose of undetermined intent
C0573589	Cefixime overdose
C0573590	Accidental cefixime overdose
C0573591	Intentional cefixime overdose
C0573592	Cefixime overdose of undetermined intent
C0573593	Cefodizime overdose
C0573594	Accidental cefodizime overdose
C0573595	Intentional cefodizime overdose
C0573596	Cefodizime overdose of undetermined intent
C0573597	Cefpodoxime overdose
C0573598	Accidental cefpodoxime overdose
C0573599	Intentional cefpodoxime overdose
C0573600	Cefpodoxime overdose of undetermined intent
C0573601	Ceftriaxone overdose
C0573602	Accidental ceftriaxone overdose
C0573603	Intentional ceftriaxone overdose
C0573604	Ceftriaxone overdose of undetermined intent
C0573605	Ceftibuten overdose
C0573606	Accidental ceftibuten overdose
C0573607	Intentional ceftibuten overdose
C0573608	Ceftibuten overdose of undetermined intent
C0573609	Cefsulodin overdose
C0573610	Accidental cefsulodin overdose
C0573611	Intentional cefsulodin overdose
C0573612	Cefsulodin overdose of undetermined intent
C0573613	Fourth generation cephalosporin overdose
C0573614	Cefpirome overdose
C0573615	Accidental cefpirome overdose
C0573616	Intentional cefpirome overdose
C0573617	Cefpirome overdose of undetermined intent
C0573618	Sulfonamide overdose
C0573619	Tetracycline group overdose
C0573620	Doxycycline overdose
C0573621	Accidental doxycycline overdose
C0573622	Intentional doxycycline overdose
C0573623	Doxycycline overdose of undetermined intent
C0573624	Minocycline overdose
C0573625	Accidental minocycline overdose
C0573626	Intentional minocycline overdose
C0573627	Minocycline overdose of undetermined intent
C0573628	Oxytetracycline overdose
C0573629	Accidental oxytetracycline overdose
C0573630	Intentional oxytetracycline overdose
C0573631	Oxytetracycline overdose of undetermined intent
C0573632	Tetracycline overdose
C0573633	Accidental tetracycline overdose
C0573634	Intentional tetracycline overdose
C0573635	Tetracycline overdose of undetermined intent
C0573636	Chloramphenicol overdose
C0573637	Accidental chloramphenicol overdose
C0573638	Intentional chloramphenicol overdose
C0573639	Chloramphenicol overdose of undetermined intent
C0573640	Sulfamethoxazole and trimethoprim overdose
C0573641	Accidental sulfamethoxazole and trimethoprim overdose
C0573642	Intentional sulfamethoxazole and trimethoprim overdose
C0573643	Sulfamethoxazole and trimethoprim overdose of undetermined intent
C0573644	Antiprotozoal drug overdose
C0573645	Antimony compound overdose
C0573646	Accidental antimony compound overdose
C0573647	Intentional antimony compound overdose
C0573648	Antimony compound overdose of undetermined intent
C0573649	Hydroxyquinoline overdose
C0573650	Accidental hydroxyquinoline overdose
C0573651	Intentional hydroxyquinoline overdose
C0573652	Hydroxyquinoline overdose of undetermined intent
C0573653	Antimycobacterial drug overdose
C0573654	Antituberculous drug overdose
C0573655	Rifampin overdose
C0573656	Accidental rifampin overdose
C0573657	Intentional rifampin overdose
C0573658	Rifampin overdose of undetermined intent
C0573659	Isoniazid overdose
C0573660	Accidental isoniazid overdose
C0573661	Intentional isoniazid overdose
C0573662	Isoniazid overdose of undetermined intent
C0573663	Ethambutol overdose
C0573664	Accidental ethambutol overdose
C0573665	Intentional ethambutol overdose
C0573666	Ethambutol overdose of undetermined intent
C0573667	Antileprotic drug overdose
C0573668	Accidental antileprotic drug overdose
C0573669	Intentional antileprotic drug overdose
C0573670	Antileprotic drug overdose of undetermined intent
C0573675	Vaccine, immunoglobulins and antisera overdose
C0573676	Immunoglobulin product overdose
C0573677	Gamma globulin overdose
C0573678	Accidental gamma globulin overdose
C0573679	Intentional gamma globulin overdose
C0573680	Gamma globulin overdose of undetermined intent
C0573681	Vaccine overdose
C0573682	Accidental vaccine sera overdose
C0573683	Intentional vaccine overdose
C0573684	Vaccine overdose of undetermined intent
C0573685	Antisera overdose
C0573686	Accidental antisera overdose
C0573687	Intentional antisera overdose
C0573688	Antisera overdose of undetermined intent
C0573689	Hormones, synthetic substitutes and antagonist overdose
C0573690	Glucagon overdose
C0573691	Accidental glucagon overdose
C0573692	Intentional glucagon overdose
C0573693	Glucagon overdose of undetermined intent
C0573694	Antithyroid agent overdose
C0573695	Thiourea overdose
C0573696	Carbimazole overdose
C0573697	Accidental carbimazole overdose
C0573698	Intentional carbimazole overdose
C0573699	Carbimazole overdose of undetermined intent
C0573700	Thiouracil overdose
C0573701	Accidental thiouracil overdose
C0573702	Intentional thiouracil overdose
C0573703	Thiouracil overdose of undetermined intent
C0573704	Corticosteroids overdose
C0573705	Prednisone overdose
C0573706	Accidental prednisone overdose
C0573707	Intentional prednisone overdose
C0573708	Prednisone overdose of undetermined intent
C0573709	Dexamethasone overdose
C0573710	Accidental dexamethasone overdose
C0573711	Intentional dexamethasone overdose
C0573712	Dexamethasone overdose of undetermined intent
C0573713	Insulin overdose
C0573714	Accidental insulin overdose
C0573715	Intentional insulin overdose
C0573716	Insulin overdose of undetermined intent
C0573717	Oral hypoglycemic overdose
C0573718	Sulfonylurea overdose
C0573719	Acetohexamide overdose
C0573720	Accidental acetohexamide overdose
C0573721	Intentional acetohexamide overdose
C0573722	Acetohexamide overdose of undetermined intent
C0573723	Chlorpropamide overdose
C0573724	Accidental chlorpropamide overdose
C0573725	Intentional chlorpropamide overdose
C0573726	Chlorpropamide overdose of undetermined intent
C0573727	Overdose of glibenclamide
C0573728	Accidental overdose by glibenclamide
C0573729	Intentional overdose by glibenclamide
C0573730	Overdose of glibenclamide of undetermined intent
C0573731	Tolbutamide overdose
C0573732	Accidental tolbutamide overdose
C0573733	Intentional tolbutamide overdose
C0573734	Tolbutamide overdose of undetermined intent
C0573735	Biguanide overdose
C0573736	Overdose of metformin
C0573737	Accidental overdose by metformin
C0573738	Intentional overdose by metformin
C0573739	Overdose of metformin of undetermined intent
C0573740	Sex hormone overdose
C0573741	Progestogen overdose
C0573742	Accidental progestogen overdose
C0573743	Intentional progestogen overdose
C0573744	Progestogen overdose of undetermined intent
C0573745	Anabolic steroid overdose
C0573746	Nandrolone overdose
C0573747	Accidental nandrolone overdose
C0573748	Intentional nandrolone overdose
C0573749	Nandrolone overdose of undetermined intent
C0573750	Oxymetholone overdose
C0573751	Accidental oxymetholone overdose
C0573752	Intentional oxymetholone overdose
C0573753	Oxymetholone overdose of undetermined intent
C0573754	Methandriol overdose
C0573755	Accidental methandriol overdose
C0573756	Intentional methandriol overdose
C0573757	Methandriol overdose of undetermined intent
C0573758	Oral contraceptive overdose
C0573759	Accidental oral contraceptive overdose
C0573760	Intentional oral contraceptive overdose
C0573761	Oral contraceptive overdose of undetermined intent
C0573762	Androgen overdose
C0573763	Testosterone overdose
C0573764	Accidental testosterone overdose
C0573765	Intentional testosterone overdose
C0573766	Testosterone overdose of undetermined intent
C0573767	Estrogen overdose
C0573768	Accidental estrogen overdose
C0573769	Intentional estrogen overdose
C0573770	Estrogen overdose of undetermined intent
C0573771	Thyroid agent overdose
C0573772	Liothyronine overdose
C0573773	Accidental liothyronine overdose
C0573774	Intentional liothyronine overdose
C0573775	Liothyronine overdose of undetermined intent
C0573776	Dextrothyroxine overdose
C0573777	Accidental thyroxin overdose
C0573778	Intentional thyroxin overdose
C0573779	Thyroxin overdose of undetermined intent
C0573781	Antidiuretic hormone overdose
C0573782	Corticotrophic hormone overdose
C0573783	Calcium regulating agent overdose
C0573784	Hematological agent overdose
C0573785	Erythropoietin overdose
C0573786	Plasma substitutes overdose
C0573787	Blood derivative overdose
C0573788	Anticoagulant overdosage
C0573789	Heparin overdose
C0573790	Accidental heparin overdose
C0573791	Intentional heparin overdose
C0573792	Heparin overdose of undetermined intent
C0573793	Coumarin overdose
C0573794	Accidental coumarin overdose
C0573795	Intentional coumarin overdose
C0573796	Coumarin overdose of undetermined intent
C0573797	Warfarin overdosage
C0573798	Accidental warfarin overdose
C0573799	Intentional warfarin sodium overdose
C0573800	Warfarin overdose of undetermined intent
C0573801	Food, vitamin, electrolyte and inorganic salt overdose
C0573802	Iron product overdose
C0573803	Ferrous sulfate overdose
C0573804	Accidental ferrous sulfate overdose
C0573805	Intentional ferrous sulfate overdose
C0573806	Ferrous sulfate overdose of undetermined intent
C0573807	Iodine compounds overdose
C0573808	Iodide overdose
C0573809	Accidental iodide overdose
C0573810	Intentional iodide overdose
C0573811	Iodide overdose of undetermined intent
C0573812	Vitamin overdose
C0573813	Vitamin A overdose
C0573814	Accidental vitamin A overdose
C0573815	Intentional vitamin A overdose
C0573816	Vitamin A overdose of undetermined intent
C0573817	Vitamin D overdose
C0573818	Accidental vitamin D overdose
C0573819	Intentional vitamin D overdose
C0573820	Vitamin D overdose of undetermined intent
C0573821	Vitamin K overdose
C0573822	Accidental vitamin K overdose
C0573823	Intentional vitamin K overdose
C0573824	Vitamin K overdose of undetermined intent
C0573825	Vitamin B group overdose
C0573826	Nicotinic acid derivative overdose
C0573827	Accidental nicotinic acid derivative overdose
C0573828	Intentional nicotinic acid derivative overdose
C0573829	Nicotinic acid derivative overdose of undetermined intent
C0573830	Folic acid overdose
C0573831	Accidental folic acid overdose
C0573832	Intentional folic acid overdose
C0573833	Folic acid overdose of undetermined intent
C0573834	Potassium overdose
C0573835	Accidental potassium overdose
C0573836	Intentional potassium overdose
C0573837	Potassium overdose of undetermined intent
C0573838	Overdose of cardiovascular drug
C0573839	Lipid-lowering drug overdose
C0573840	Clofibrate overdose
C0573841	Accidental clofibrate overdose
C0573842	Intentional clofibrate overdose
C0573843	Clofibrate overdose of undetermined intent
C0573844	Overdose of cardiac antiarrhythmic agent
C0573845	Class I antiarrhythmic overdose
C0573846	Disopyramide overdose
C0573847	Accidental disopyramide overdose
C0573848	Intentional disopyramide overdose
C0573849	Disopyramide overdose of undetermined intent
C0573850	Quinidine overdose
C0573851	Accidental quinidine overdose
C0573852	Intentional quinidine overdose
C0573853	Quinidine overdose of undetermined intent
C0573854	Procainamide overdose
C0573855	Accidental procainamide overdose
C0573856	Intentional procainamide overdose
C0573857	Procainamide overdose of undetermined intent
C0573858	Class II antiarrhythmic overdose
C0573859	Bretylium overdose
C0573860	Accidental bretylium overdose
C0573861	Intentional bretylium overdose
C0573862	Bretylium overdose of undetermined intent
C0573863	Class III antiarrhythmic overdose
C0573864	Amiodarone overdose
C0573865	Accidental amiodarone overdose
C0573866	Intentional amiodarone overdose
C0573867	Amiodarone overdose of undetermined intent
C0573868	Class IV antiarrhythmic overdose
C0573869	Diuretic overdose
C0573870	Thiazide diuretic overdose
C0573871	Bendroflumethiazide overdose
C0573872	Accidental bendroflumethiazide overdose
C0573873	Intentional bendroflumethiazide overdose
C0573874	Bendroflumethiazide overdose of undetermined intent
C0573875	Chlorothiazide overdose
C0573876	Accidental chlorothiazide overdose
C0573877	Intentional chlorothiazide overdose
C0573878	Chlorothiazide overdose of undetermined intent
C0573879	Loop diuretic overdose
C0573880	Furosemide overdose
C0573881	Accidental furosemide overdose
C0573882	Intentional furosemide overdose
C0573883	Furosemide overdose of undetermined intent
C0573884	Bumetanide overdose
C0573885	Accidental bumetanide overdose
C0573886	Intentional bumetanide overdose
C0573887	Bumetanide overdose of undetermined intent
C0573888	Ethacrynic acid overdose
C0573889	Accidental ethacrynic acid overdose
C0573890	Intentional ethacrynic acid overdose
C0573891	Ethacrynic acid overdose of undetermined intent
C0573892	Potassium sparing diuretic overdose
C0573893	Accidental potassium sparing diuretic overdose
C0573894	Intentional potassium sparing diuretic overdose
C0573895	Potassium sparing diuretic overdose of undetermined intent
C0573896	Osmotic diuretic overdose
C0573897	Accidental osmotic diuretic overdose
C0573898	Intentional osmotic diuretic overdose
C0573899	Osmotic diuretic overdose of undetermined intent
C0573900	Mercurial diuretic overdose
C0573901	Mersalyl overdose
C0573902	Accidental mersalyl overdose
C0573903	Intentional mersalyl overdose
C0573904	Mersalyl overdose of undetermined intent
C0573905	Carbonic acid anhydrase inhibitor overdose
C0573906	Acetazolamide overdose
C0573907	Accidental acetazolamide overdose
C0573908	Intentional acetazolamide overdose
C0573909	Acetazolamide overdose of undetermined intent
C0573910	Antihypertensive overdose
C0573911	Adrenergic neurone blocking drug overdose
C0573912	Guanethidine overdose
C0573913	Accidental guanethidine overdose
C0573914	Intentional guanethidine overdose
C0573915	Guanethidine overdose of undetermined intent
C0573916	Overdose of angiotensin-converting-enzyme inhibitors
C0573917	Accidental overdose by angiotensin-converting enzyme inhibitor
C0573918	Intentional overdose by angiotensin-converting enzyme inhibitor
C0573919	Overdose of angiotensin-converting-enzyme inhibitors of undetermined intent
C0573920	Accidental antihypertensive overdose
C0573921	Intentional antihypertensive overdose
C0573922	Antihypertensive overdose of undetermined intent
C0573923	Cardiac inotropic agent overdose
C0573924	Overdose of cardiac glycoside
C0573925	Digoxin overdose
C0573926	Intentional digoxin overdose
C0573927	Digoxin overdose of undetermined intent
C0573928	Phosphodiesterase inhibitor overdose
C0573929	Accidental phosphodiesterase inhibitor overdose
C0573930	Intentional phosphodiesterase inhibitor overdose
C0573931	Phosphodiesterase inhibitor overdose of undetermined intent
C0573932	Vasoconstrictor drug overdose
C0573933	Ergot alkaloid overdose
C0573934	Accidental ergot alkaloid overdose
C0573935	Intentional ergot alkaloid overdose
C0573936	Ergot alkaloid overdose of undetermined intent
C0573937	Vasodilator overdose
C0573938	Diazoxide overdose
C0573939	Accidental diazoxide overdose
C0573940	Intentional diazoxide overdose
C0573941	Diazoxide overdose of undetermined intent
C0573942	Hydralazine overdose
C0573943	Accidental hydralazine overdose
C0573944	Intentional hydralazine overdose
C0573945	Hydralazine overdose of undetermined intent
C0573946	Dipyridamole overdose
C0573947	Accidental dipyridamole overdose
C0573948	Intentional dipyridamole overdose
C0573949	Dipyridamole overdose of undetermined intent
C0573950	Nitrate overdose
C0573951	Glyceryl trinitrate overdose
C0573952	Isosorbide dinitrate overdose
C0573953	Isosorbide mononitrate overdose
C0573954	Peripheral/cerebral vasodilator overdose
C0573955	Antivaricose drug overdose
C0573956	Medicinal enzyme overdose
C0573957	Streptokinase overdose
C0573958	Accidental streptokinase overdose
C0573959	Intentional streptokinase overdose
C0573960	Streptokinase overdose of undetermined intent
C0573961	Urokinase overdose
C0573962	Accidental urokinase overdose
C0573963	Intentional urokinase overdose
C0573964	Urokinase overdose of undetermined intent
C0573965	Fallopian tube normal
C0573966	Magill breathing circuit
C0573967	Bain breathing circuit
C0573968	Lack breathing circuit
C0573969	Coaxial Lack breathing circuit
C0573970	Parallel Lack breathing circuit
C0573971	Pediatric breathing circuit
C0573972	Pediatric T piece with bag
C0573973	Humphrey ADE breathing circuit
C0573974	Adjustable pressure limiting valve
C0573975	Soda lime cannister
C0573976	Anesthetic face mask
C0573977	No focal neurology
C0573979	Adnexal tenderness absent
C0573980	Abdominal tenderness absent
C0573981	Normal uterine adnexae
C0573982	Feeling of something coming down the vagina
C0573983	Nuchal pain
C0573984	Family history of neoplasm
C0573987	Fracture of proximal phalanx of finger
C0573988	Fracture of middle phalanx of finger
C0573989	Fracture distal phalanx of thumb
C0573990	Fracture proximal phalanx of thumb
C0573991	Benign neoplasm of skin of head and neck
C0573992	Subclavian artery embolus
C0573993	Benign neoplasm of skin of trunk
C0573994	Axillary artery embolus
C0573995	Celiac artery embolus
C0573996	Embolus of circle of Willis
C0573997	Retrosternal abscess
C0573998	Inferior mesenteric artery embolus
C0573999	Popliteal artery embolus
C0574001	Suprarenal artery embolus
C0574002	Edema of foot
C0574004	Osteochondroma of tibia
C0574006	Celiac artery thrombosis
C0574007	Common femoral artery thrombosis
C0574008	Common iliac artery thrombosis
C0574009	External iliac artery thrombosis
C0574010	Internal iliac artery thrombosis
C0574011	Profunda femoris artery thrombosis
C0574012	Subclavian artery thrombosis
C0574013	Superficial femoral artery thrombosis
C0574014	Axillary vein thrombosis
C0574015	Intracranial venous thrombosis
C0574016	Fracture of mandibular alveolus
C0574017	Crural artery thrombosis
C0574018	Duodenal cyst
C0574019	Duodenal web
C0574020	Structure of musculoskeletal system of cervical spine
C0574021	Structure of musculoskeletal system of thoracic spine
C0574022	Structure of musculoskeletal system of lumbar spine
C0574023	Musculoskeletal structure of sacral spine
C0574024	Musculoskeletal structure of coccygeal spine
C0574025	Lumbosacral region of spine structure
C0574026	Sacrococcygeal region of spine structure
C0574027	Vertebral artery aneurysm
C0574028	Stomal polyp
C0574029	Breast seroma
C0574030	Microsurgical anastomosis
C0574032	Infusion
C0574033	Scrotal and testis structures
C0574034	Spermatic cord and/or male perineal structures
C0574035	Motorcycle accident
C0574036	Bus accident
C0574037	Clotted hemothorax
C0574038	Colostomy prolapse
C0574039	Ileostomy prolapse
C0574040	Scarring of stoma
C0574041	Scrotal fistula
C0574042	Ganglion of hand
C0574043	Ganglion of foot
C0574044	Macrodactyly of hand
C0574046	Suprarenal artery aneurysm
C0574047	Ruptured tricuspid chordae
C0574048	Mercury vapor
C0574049	Overdose of tricyclic antidepressant
C0574050	Correction of swan neck deformity of finger
C0574051	Intentional overdose of tricyclic antidepressant
C0574052	Tricyclic antidepressant overdose of undetermined intent
C0574053	Staging of procedure
C0574054	One stage procedure
C0574055	Two stage procedure
C0574056	Short urethra
C0574058	Expiratory grunting
C0574059	Tympanitic bowel sound
C0574060	Peripheral pulses impalpable
C0574061	Transvascular approach
C0574066	Increasing breathlessness
C0574067	Increasing frequency of cough
C0574068	Rib pain
C0574069	Congenital abnormality of arterial duct
C0574070	Rib bone marrow structure
C0574072	Persistent vertical vein
C0574073	Persistent descending vein
C0574074	Divided colostomy stoma
C0574075	Disease of nervous system complicating pregnancy, childbirth and puerperium
C0574076	Mechanical complication of gastrointestinal prosthetic device
C0574077	Mechanical complication of suprapubic catheter
C0574078	Maternal pyrexia
C0574079	Disorder of creatine synthesis
C0574080	Deficiency of guanidinoacetate methyltransferase
C0574083	3-Methylglutaconic aciduria type 2
C0574084	3-Methylglutaconic aciduria type 3
C0574085	3-Methylglutaconic aciduria type 4
C0574086	Plastibell
C0574087	Unclassified 3-methylglutaconic aciduria
C0574088	Removal of object
C0574089	Generalized uridine diphosphate galactose-4-epimerase deficiency
C0574090	Erythrocyte uridine diphosphate galactose-4-epimerase deficiency
C0574091	Family history of neurological disorder
C0574092	Family history of Parkinson's disease
C0574093	Family history of learning disability
C0574094	Family history of chronic obstructive lung disease
C0574096	Family history of pernicious anemia
C0574097	FH: Ulcerative colitis
C0574098	Family history of urological disorder
C0574099	Family history of male genital tract disorder
C0574100	Family history of female genital tract disorder
C0574101	Family history of neoplasm of lung
C0574103	Family history of procedure
C0574104	Glycogen phosphorylase kinase deficiency, X-linked
C0574105	Glycogen phosphorylase kinase deficiency, autosomal recessive
C0574106	Cardiac glycogen phosphorylase kinase deficiency
C0574107	Hepatic and muscle glycogen phosphorylase kinase deficiency
C0574108	Glycerol kinase deficiency - isolated
C0574109	Glycerol kinase deficiency - contiguous gene syndrome
C0574111	Decompression of nerve via subclavian approach
C0574112	Dissection tonsillectomy and adenoidectomy
C0574113	Guillotine tonsillectomy and adenoidectomy
C0574114	Magnesium trisilicate overdose of undetermined intent
C0574115	Insertion of iliac artery stent
C0574116	Pituitary and/or pineal structures
C0574117	Thyroid and/or parathyroid structures
C0574118	Bilateral fixed dilatation of pupil
C0574119	Fixed dilatation of right pupil
C0574120	Fixed dilatation of left pupil
C0574121	Inappropriate verbal response
C0574123	Ear, nose and throat finding
C0574124	Endocrine, nutritional and metabolic finding
C0574125	Functional finding
C0574135	Oral steroid therapy
C0574137	Primary open reduction of fracture and internal fixation with plate
C0574138	Intravenous hydrocortisone therapy
C0574139	Drainage of abscess of foot
C0574140	Paraprosthetic pulmonary regurgitation
C0574141	Paraprosthetic tricuspid regurgitation
C0574142	Vascular structure of spleen
C0574143	Liver calculus
C0574144	World languages
C0574145	Afro-Asiatic language
C0574146	Berber language
C0574147	Kabyle language
C0574148	Riffian language
C0574149	Shawia language
C0574150	Shluh language
C0574151	Tamazight language
C0574152	Tuareg language
C0574153	Chadic language
C0574154	Hausa language
C0574155	Cushitic language
C0574156	Afar language
C0574157	Beja language
C0574158	Oromo language
C0574159	Saho language
C0574160	Sidamo language
C0574161	Somali language
C0574162	Coptic language
C0574163	Semitic language
C0574164	Aramaic language
C0574165	Assyrian language
C0574166	Syriac language
C0574167	Canaanitic language
C0574168	Ethiopic language
C0574169	Geez language
C0574170	Gurage language
C0574171	Harari language
C0574172	Tigre language
C0574173	Tigrinya language
C0574174	North Arabic language
C0574175	Arabic language
C0574176	Classical Arabic language
C0574177	South Arabic language
C0574178	Maltese language
C0574179	Altaic language
C0574180	Buryat language
C0574181	Kalmyk language
C0574182	Tungusic language
C0574183	Northern Tungusic language
C0574184	Evenki language
C0574185	Even language
C0574186	Southern Tungusic language
C0574187	Manchu language
C0574188	Nanai language
C0574189	Sibo language
C0574190	Turkic language
C0574191	Chuvash language
C0574192	Northeastern Turkic language
C0574193	Altai language
C0574194	Khakass language
C0574195	Tuvinian language
C0574196	Northwestern Turkic language
C0574197	Balkar language
C0574198	Bashkir language
C0574199	Kara-Kalpak language
C0574200	Karachai language
C0574201	Kirgiz language
C0574202	Kumyk language
C0574203	Nogai language
C0574204	Tatar language
C0574205	Southeastern Turkic language
C0574206	Salar language
C0574207	Uigur language
C0574208	Uzbek language
C0574209	Southwestern Turkic language
C0574210	Turkmen language
C0574211	Yakut language
C0574212	Artificial language
C0574213	Occidental
C0574214	Australian language
C0574215	Aranda language
C0574216	Murngin language
C0574217	Caucasian language
C0574218	Dagestan Caucasian language
C0574219	Avar language
C0574220	Dargin language
C0574221	Lak language
C0574222	Lezgin language
C0574223	Tabasaran language
C0574224	Eastern Caucasian language
C0574225	Chechen language
C0574226	Ingush language
C0574227	Southern Caucasian language
C0574228	Western Caucasian language
C0574229	Abazinian language
C0574230	Abkhazian language
C0574231	Adygei language
C0574232	Circassian language
C0574233	Kabardian language
C0574234	Central and South American Indian language
C0574235	Andean equatorial language
C0574236	Araucanian language
C0574237	Arawak language
C0574238	Aymara language
C0574239	Guarani language
C0574240	Jivaro language
C0574241	Quechua language
C0574242	Tupi language
C0574243	Ge-Pano-Carib language
C0574244	Carib language
C0574245	Chiquito language
C0574246	Ge language
C0574247	Panoan language
C0574248	Tacana language
C0574249	Macro-Chibchan language
C0574250	Bribri language
C0574251	Cabecar language
C0574252	Cuna language
C0574253	Guaymi language
C0574254	Lenca language
C0574255	Miskito language
C0574256	Chari-Nile language
C0574257	Central Sudanic language
C0574258	Lugbara language
C0574259	Madi language
C0574260	Mangbetu language
C0574261	Sara language
C0574262	Eastern Sudanic language
C0574263	Nilotic language
C0574264	Eastern Nilotic language
C0574265	Bari language
C0574266	Karamojong language
C0574267	Lotuko language
C0574268	Masai language
C0574269	Teso language
C0574270	Turkana language
C0574271	Southern Nilotic language
C0574272	Kalenjin language
C0574273	Suk language
C0574274	Western Nilotic language
C0574275	Acholi language
C0574276	Alur language
C0574277	Dinka language
C0574278	Lango language
C0574279	Luo language
C0574280	Nuer language
C0574281	Shilluk language
C0574282	Nubian language
C0574283	Djerma language
C0574284	Dravidian language
C0574285	Brahui language
C0574286	Gondi language
C0574287	Kanarese language
C0574288	Kui language
C0574289	Kurukh language
C0574290	Tulu language
C0574291	Eskimo-Aleut language
C0574292	Aleut language
C0574293	Fur language
C0574294	Independent language
C0574295	Ainu language
C0574296	Barushaski language
C0574297	Basque language
C0574298	Muong language
C0574300	Indo-European language
C0574302	Baltic language
C0574303	Celtic language
C0574304	Brythonic Celtic language
C0574305	Breton language
C0574306	Goidelic Celtic language
C0574307	Scottish Gaelic language
C0574308	Germanic language
C0574309	Northern Germanic language
C0574310	Faroese language
C0574311	Western Germanic language
C0574312	Frisian language
C0574313	Luxembourgian language
C0574314	Hellenic language
C0574315	Greek language
C0574316	Italic language
C0574317	Romance language
C0574318	Swiss French dialect
C0574319	Galician Portuguese dialect
C0574320	Provencal language
C0574321	Rhaeto-Romanic language
C0574322	Sardinian language
C0574323	Slavic language
C0574324	Eastern Slavic language
C0574325	Southern Slavic language
C0574326	Serbo-Croatian language
C0574327	Slovenian language
C0574328	Western Slavic language
C0574329	Sorbian language
C0574330	Indo-Iranian language
C0574331	Indic language
C0574332	Assamese language
C0574333	Bhili language
C0574334	Sylhety
C0574335	Bihari language
C0574336	Hindustani language
C0574337	Kashmiri language
C0574338	Konkani language
C0574339	Maldivian language
C0574340	Oriya language
C0574341	Pakistani punjabi language
